El core 0 se encuentra en el ciclo 3564
El core 0 se encuentra en el ciclo 3575
El core 0 se encuentra en el ciclo 3586
El core 0 se encuentra en el ciclo 3597
El core 0 se encuentra en el ciclo 3608
El core 0 se encuentra en el ciclo 3619
El core 0 se encuentra en el ciclo 3630
El core 0 se encuentra en el ciclo 3641
El core 0 se encuentra en el ciclo 3652
El core 0 se encuentra en el ciclo 3663
El core 0 se encuentra en el ciclo 3674
El core 0 se encuentra en el ciclo 3685
El core 0 se encuentra en el ciclo 3696
El core 0 se encuentra en el ciclo 3707
El core 0 se encuentra en el ciclo 3718
El core 0 se encuentra en el ciclo 3729
El core 0 se encuentra en el ciclo 3740
El core 0 se encuentra en el ciclo 3751
El core 0 se encuentra en el ciclo 3762
El core 0 se encuentra en el ciclo 3773
El core 0 se encuentra en el ciclo 3784
El core 0 se encuentra en el ciclo 3795
El core 0 se encuentra en el ciclo 3806
El core 0 se encuentra en el ciclo 3817
El core 0 se encuentra en el ciclo 3828
El core 0 se encuentra en el ciclo 3839
El core 0 se encuentra en el ciclo 3850
El core 0 se encuentra en el ciclo 3861
El core 0 se encuentra en el ciclo 3872
El core 0 se encuentra en el ciclo 3883
El core 0 se encuentra en el ciclo 3894
El core 0 se encuentra en el ciclo 3905
El core 0 se encuentra en el ciclo 3916
El core 0 se encuentra en el ciclo 3927
El core 0 se encuentra en el ciclo 3938
El core 0 se encuentra en el ciclo 3949
El core 0 se encuentra en el ciclo 3960
El core 0 se encuentra en el ciclo 3971
El core 0 se encuentra en el ciclo 3982
El core 0 se encuentra en el ciclo 3993
El core 0 se encuentra en el ciclo 4004
El core 0 se encuentra en el ciclo 4015
El core 0 se encuentra en el ciclo 4026
El core 0 se encuentra en el ciclo 4037
El core 0 se encuentra en el ciclo 4048
El core 0 se encuentra en el ciclo 4059
El core 0 se encuentra en el ciclo 4070
El core 0 se encuentra en el ciclo 4081
El core 0 se encuentra en el ciclo 4092
El core 0 se encuentra en el ciclo 4103
El core 0 se encuentra en el ciclo 4114
El core 0 se encuentra en el ciclo 4125
El core 0 se encuentra en el ciclo 4136
El core 0 se encuentra en el ciclo 4147
El core 0 se encuentra en el ciclo 4158
El core 0 se encuentra en el ciclo 4169
El core 0 se encuentra en el ciclo 4180
El core 0 se encuentra en el ciclo 4191
El core 0 se encuentra en el ciclo 4202
El core 0 se encuentra en el ciclo 4213
El core 0 se encuentra en el ciclo 4224
El core 0 se encuentra en el ciclo 4235
El core 0 se encuentra en el ciclo 4246
El core 0 se encuentra en el ciclo 4257
El core 0 se encuentra en el ciclo 4268
El core 0 se encuentra en el ciclo 4279
El core 0 se encuentra en el ciclo 4290
El core 0 se encuentra en el ciclo 4301
El core 0 se encuentra en el ciclo 4312
El core 0 se encuentra en el ciclo 4323
El core 0 se encuentra en el ciclo 4334
El core 0 se encuentra en el ciclo 4345
El core 0 se encuentra en el ciclo 4356
El core 0 se encuentra en el ciclo 4367
El core 0 se encuentra en el ciclo 4378
El core 0 se encuentra en el ciclo 4389
El core 0 se encuentra en el ciclo 4400
El core 0 se encuentra en el ciclo 4411
El core 0 se encuentra en el ciclo 4422
El core 0 se encuentra en el ciclo 4433
El core 0 se encuentra en el ciclo 4444
El core 0 ha terminado el hilillo 2
